Formula:  y ~ Age + Sex + HIV.Status + (1 | PIN) + (1 | ID) 
 
"","pval_Age","pval_Sex","pval_HIV.Status","adjp_Age","adjp_Sex","adjp_HIV.Status","coeff_Age","coeff_Sexmale","coeff_HIV.StatusHUU"
"CD16+ gd",0.0120790817317857,0.271176421892069,0.378436511833462,0.0266359238188096,0.861363350984922,0.999993719894091,0.235105153649564,-0.494162427304108,-0.43564709386187
"CD56-CD16+",0.356143632708586,0.998580567497742,0.885043135342806,0.450416947249094,0.999968591939375,0.999993719894091,0.0761769240781495,0.0228069275707769,-0.105877579346381
"CD56-CD16+/CD107a-",0.0302549326194117,0.00889399373344979,0.072450324950769,0.0557991076183077,0.0479371328681106,0.623072794576613,-0.317329628277737,-0.836146736977184,-0.633844442109384
"CD56-CD16+/CD107a+",0.0304948611402379,0.00751840360767764,0.0695158473796947,0.0557991076183077,0.0479371328681106,0.623072794576613,0.316341102551096,0.844330474730452,0.635711349339872
"CD56-CD16+/CD57-",1.3988810110277e-14,0.981533545400262,0.999598521524442,1.33670852164869e-13,0.999968591939375,0.999993719894091,-0.497291767818869,0.0861280525460297,0.0238190622060119
"CD56-CD16+/CD57+",1.83751902582685e-11,0.992914101850257,0.999937623782704,1.16079495222315e-10,0.999968591939375,0.999993719894091,0.451401294776556,0.0552867411723994,-0.0113109251989086
"CD56-CD16+/NKG2C- (Total NK)",0.0256186933805806,0.892533887037834,0.999521098504647,0.053736771481218,0.999968591939375,0.999993719894091,-0.445034165123147,-0.290577531482573,-0.0456557801499198
"CD56-CD16+/NKG2C- (Total NK)/CD107a-",0.022201075538385,0.0139494665959923,0.0707517756429936,0.0477323124075278,0.0666474515141853,0.623072794576613,-0.332808335735604,-0.798338715556509,-0.638719841235997
"CD56-CD16+/NKG2C- (Total NK)/CD107a+",0.0265858945403546,0.0124221236891577,0.0711758041535585,0.0544377840588214,0.0628413316039744,0.623072794576613,0.317775715931569,0.798141616911509,0.62720679003511
"CD56-CD16+/NKG2C- (Total NK)/CD57-",2.84550161211428e-13,0.995498186505502,0.999473161025619,2.22466489674389e-12,0.999968591939375,0.999993719894091,-0.507782970403565,0.0563006924905491,-0.0276253480331855
"CD56-CD16+/NKG2C- (Total NK)/CD57+",2.08832950931992e-13,0.995472281517944,0.99947225694371,1.79596337801513e-12,0.999968591939375,0.999993719894091,0.507513659092962,-0.0562252817918373,0.0275502698922925
"CD56-CD16+/NKG2C+ (Total NK)",0.0322558883893104,0.884827870704136,0.999286692344822,0.0577918000308478,0.999968591939375,0.999993719894091,0.441840316471896,0.303638512627338,0.0531269702507275
"CD56-CD16+/NKG2C+ (Total NK)/CD107a-",0.406285724334148,1.28282326277152e-05,0.913947792311839,0.492120736517419,0.000551614002991752,0.999993719894091,-0.27724290801079,-1.89931630751809,-0.250446504740591
"CD56-CD16+/NKG2C+ (Total NK)/CD107a+",0.134058811037787,8.67551764727192e-06,0.939163281035103,0.205876031236602,0.000551614002991752,0.999993719894091,0.368200506229283,1.82262446863232,0.208639573183883
"CD56-CD16+/NKG2C+ (Total NK)/CD57-",0.000110950229930351,0.991396937978564,0.9961617117259,0.000415075040578791,0.999968591939375,0.999993719894091,-1.0315460306741,-0.173076782180679,0.132362080381048
"CD56-CD16+/NKG2C+ (Total NK)/CD57+",0.000111008441085025,0.991396699158394,0.996161741452995,0.000415075040578791,0.999968591939375,0.999993719894091,1.031546293055,0.173078274566838,-0.132361667589281
"CD56+ gd",0.0278076087352057,0.999968591939375,0.541364853835516,0.0556152174704114,0.999968591939375,0.999993719894091,0.109543721404181,-0.00529032565642809,0.161523673158141
"CD56hiCD16-",0.874026101694546,0.252139618887078,0.998444832630364,0.939578059321637,0.846579580550648,0.999993719894091,0.0392190388518882,0.348799594433199,-0.0300606625111891
"CD56hiCD16-/CD107a-",0.0436998568195157,0.576975972960743,0.997063921373116,0.0736899546368304,0.999968591939375,0.999993719894091,-0.265452161688998,-0.283658769668056,-0.0422739711379869
"CD56hiCD16-/CD107a+",0.0489325648086012,0.575997761693881,0.995891536066564,0.0809269341065327,0.999968591939375,0.999993719894091,0.26230034006344,0.285594649239076,0.047616395156681
"CD56hiCD16-/CD57-",0.0426299094926194,0.776053828201778,0.987998241640956,0.0736899546368304,0.999968591939375,0.999993719894091,-0.187744980225084,0.145041276074705,0.0494009692051422
"CD56hiCD16-/CD57+",0.0436224253847481,0.899146910457544,0.992002390189696,0.0736899546368304,0.999968591939375,0.999993719894091,0.181725646939753,-0.106619943419585,-0.0434876535102857
"CD56hiCD16-/NKG2C- (Total NK)",0.462825774217125,0.614626417907009,0.978272835340425,0.552819674759343,0.999968591939375,0.999993719894091,-0.117316729293625,-0.429542668011632,-0.139417301991582
"CD56hiCD16-/NKG2C- (Total NK)/CD107a-",0.000453309941818358,0.702525305685824,0.939211155673896,0.00141107942149979,0.999968591939375,0.999993719894091,-0.375899503786883,-0.215845835836121,0.109972869854029
"CD56hiCD16-/NKG2C- (Total NK)/CD107a+",0.000448494229078555,0.710434321206594,0.934404372315655,0.00141107942149979,0.999968591939375,0.999993719894091,0.374353974629153,0.212103761139076,-0.112506963698275
"CD56hiCD16-/NKG2C- (Total NK)/CD57-",0.00403281933605859,0.636049044801801,0.891133654409462,0.00937358007840645,0.999968591939375,0.999993719894091,-0.22509990789695,0.188957333403824,0.113189148990552
"CD56hiCD16-/NKG2C- (Total NK)/CD57+",0.00298261745383621,0.788876053634368,0.734279363132733,0.00777288184939134,0.999968591939375,0.999993719894091,0.231179836320061,-0.151883070324044,-0.168007322298916
"CD56hiCD16-/NKG2C+ (Total NK)",0.402607437548286,0.637137083515228,0.974759961114064,0.492120736517419,0.999968591939375,0.999993719894091,0.126386320571875,0.423441681610914,0.1492098373255
"CD56hiCD16-/NKG2C+ (Total NK)/CD57-",0.676491380438843,0.988226698641525,0.213880425572085,0.77571011623654,0.999968591939375,0.999993719894091,-0.270596270893087,0.156701201701136,0.946499396831458
